budget,genres,id,keywords,original_language,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,vote_average
75000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",328111,"[{""id"": 2551, ""name"": ""pet""}, {""id"": 3208, ""name"": ""bunny""}, {""id"": 11500, ""name"": ""anthropomorphism""}, {""id"": 15162, ""name"": ""dog""}, {""id"": 18165, ""name"": ""animal""}, {""id"": 33347, ""name"": ""apartment building""}, {""id"": 41412, ""name"": ""sewer""}, {""id"": 158225, ""name"": ""terrier""}, {""id"": 168346, ""name"": ""manhattan, new york city""}, {""id"": 204052, ""name"": ""rodent""}, {""id"": 229051, ""name"": ""mongrel""}]",en,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}, {""name"": ""Illumination Entertainment"", ""id"": 6704}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/6/18,875958308,87,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,5.9
50000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",302699,"[{""id"": 470, ""name"": ""spy""}, {""id"": 591, ""name"": ""cia""}, {""id"": 11134, ""name"": ""espionage""}, {""id"": 161213, ""name"": ""high school reunion""}, {""id"": 173367, ""name"": ""reference to facebook""}, {""id"": 207697, ""name"": ""accountant""}]",en,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Bluegrass Films"", ""id"": 13778}, {""name"": ""Principato-Young Entertainment"", ""id"": 37845}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/6/15,216972543,107,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,6.2
7000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}]",301365,"[{""id"": 14818, ""name"": ""model""}]",en,"[{""name"": ""Bold Films"", ""id"": 2266}, {""name"": ""Amazon Studios"", ""id"": 20580}, {""name"": ""Vendian Entertainment"", ""id"": 50481}, {""name"": ""Space Rocket Nation"", ""id"": 67574}]","[{""iso_3166_1"": ""DK"", ""name"": ""Denmark""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/6/8,1333124,117,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,6.4
90000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",291805,"[{""id"": 212, ""name"": ""london england""}, {""id"": 478, ""name"": ""china""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 2908, ""name"": ""secret society""}, {""id"": 7002, ""name"": ""vigilante""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 10051, ""name"": ""heist""}, {""id"": 10562, ""name"": ""on the run""}, {""id"": 228519, ""name"": ""macau china""}, {""id"": 236458, ""name"": ""magician""}]",en,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""K/O Paper Products"", ""id"": 7296}, {""name"": ""TIK Films"", ""id"": 72441}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/6/2,334901337,129,"[{""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,6.7
20000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",296096,"[{""id"": 392, ""name"": ""england""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 894, ""name"": ""depression""}, {""id"": 1415, ""name"": ""small town""}, {""id"": 2564, ""name"": ""wheelchair""}, {""id"": 10241, ""name"": ""caretaker""}, {""id"": 155209, ""name"": ""caregiver""}, {""id"": 158558, ""name"": ""disabled""}, {""id"": 169152, ""name"": ""twenty something""}, {""id"": 187056, ""name"": ""woman director""}, {""id"": 191100, ""name"": ""romantic drama""}, {""id"": 207443, ""name"": ""dead end job""}, {""id"": 207819, ""name"": ""accident""}]",en,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Sunswept Entertainment"", ""id"": 5219}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/6/2,207945075,110,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,7.6
135000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",308531,"[{""id"": 380, ""name"": ""brother brother relationship""}, {""id"": 6362, ""name"": ""turtle""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 10278, ""name"": ""ninja""}, {""id"": 189359, ""name"": ""rat""}]",en,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Nickelodeon Movies"", ""id"": 2348}, {""name"": ""Platinum Dunes"", ""id"": 2481}, {""name"": ""5150 Action"", ""id"": 47354}, {""name"": ""Gama Entertainment Partners"", ""id"": 77208}]","[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}]",2016/6/1,245623848,112,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,5.8
140000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",267935,"[{""id"": 212, ""name"": ""london england""}, {""id"": 392, ""name"": ""england""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 2011, ""name"": ""queen""}, {""id"": 12663, ""name"": ""little girl""}, {""id"": 13014, ""name"": ""orphan""}, {""id"": 14895, ""name"": ""cannibal""}, {""id"": 189099, ""name"": ""giant""}, {""id"": 227364, ""name"": ""evil brother""}]",en,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Reliance Entertainment"", ""id"": 7294}, {""name"": ""Kennedy/Marshall Company, The"", ""id"": 7383}, {""name"": ""Walden Media"", ""id"": 10221}]","[{""iso_3166_1"": ""IN"", ""name"": ""India""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/6/1,183345589,120,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,6
160000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",68735,"[{""id"": 282, ""name"": ""video game""}, {""id"": 603, ""name"": ""elves""}, {""id"": 606, ""name"": ""orcs""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 3713, ""name"": ""chase""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 10821, ""name"": ""sorcerer""}, {""id"": 14946, ""name"": ""fictional war""}, {""id"": 41645, ""name"": ""based on video game""}, {""id"": 177912, ""name"": ""wizard""}, {""id"": 189113, ""name"": ""fictional language""}, {""id"": 211674, ""name"": ""muscles""}, {""id"": 228295, ""name"": ""orc""}, {""id"": 234213, ""name"": ""sword and sorcery""}]",en,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Blizzard Entertainment"", ""id"": 16028}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""JP"", ""name"": ""Japan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/5/25,433677183,123,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,6.3
170000000,"[{""id"": 14, ""name"": ""Fantasy""}]",241259,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 1507, ""name"": ""clock""}, {""id"": 2011, ""name"": ""queen""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 12552, ""name"": ""alice in wonderland""}, {""id"": 177895, ""name"": ""dark fantasy""}, {""id"": 203699, ""name"": ""mad hatter""}, {""id"": 209714, ""name"": ""3d""}]",en,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Team Todd"", ""id"": 598}, {""name"": ""Tim Burton Productions"", ""id"": 8601}, {""name"": ""Roth Films"", ""id"": 16314}, {""name"": ""Legend3D"", ""id"": 37455}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/5/25,299370084,113,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,6.5
178000000,"[{""id"": 878, ""name"": ""Science Fiction""}]",246655,"[{""id"": 1852, ""name"": ""mutant""}, {""id"": 4769, ""name"": ""supernatural powers""}, {""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 10761, ""name"": ""superhuman""}, {""id"": 12332, ""name"": ""apocalypse""}, {""id"": 155030, ""name"": ""superhero team""}, {""id"": 176217, ""name"": ""world domination""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 208289, ""name"": ""1980s""}]",en,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Marvel Entertainment"", ""id"": 7505}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""Kinberg Genre"", ""id"": 78091}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/5/18,543934787,144,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,6.4
40000000,"[{""id"": 27, ""name"": ""Horror""}]",259693,"[{""id"": 212, ""name"": ""london england""}, {""id"": 392, ""name"": ""england""}, {""id"": 1228, ""name"": ""1970s""}, {""id"": 13153, ""name"": ""spirit""}, {""id"": 14768, ""name"": ""single mother""}, {""id"": 15001, ""name"": ""demon""}, {""id"": 15043, ""name"": ""paranormal investigation""}, {""id"": 161261, ""name"": ""demonic possession""}, {""id"": 228935, ""name"": ""valak""}, {""id"": 228936, ""name"": ""annabelle""}]",en,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""The Safran Company"", ""id"": 11565}, {""name"": ""Evergreen Media Group"", ""id"": 31375}, {""name"": ""warner bross Turkey"", ""id"": 47502}, {""name"": ""Soho VFX"", ""id"": 54392}, {""name"": ""Atomic Monster"", ""id"": 76907}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/5/13,320170008,134,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,7
27000000,"[{""id"": 53, ""name"": ""Thriller""}]",303858,"[{""id"": 258, ""name"": ""bomb""}, {""id"": 1589, ""name"": ""sniper""}, {""id"": 2571, ""name"": ""tv show""}, {""id"": 3051, ""name"": ""hostage drama""}, {""id"": 6149, ""name"": ""police""}, {""id"": 7188, ""name"": ""hostage-taking""}, {""id"": 14512, ""name"": ""new york city""}, {""id"": 177493, ""name"": ""stock market""}, {""id"": 181320, ""name"": ""stock fraud""}, {""id"": 187056, ""name"": ""woman director""}, {""id"": 214499, ""name"": ""tv studio""}]",en,"[{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Sony Pictures Releasing"", ""id"": 3045}, {""name"": ""Smokehouse Pictures"", ""id"": 22695}, {""name"": ""LStar Capital"", ""id"": 34034}, {""name"": ""Allegiance Theater"", ""id"": 54454}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016/5/12,93282604,98,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,6.5
